atribut 1,atribut 2,atribut 3,atribut 4,kelas
9.6,66.875,14.2,17.7,
7.2,38.75,12.6,19.5,
20.4,46.25,9.6,21.3,
11.4,57.5,13.4,17.1,
9.6,32.5,10.2,18,
7.2,57.5,10.8,16.2,
18,48.75,11.6,20.1,
9,43.75,8,20.7,
24,58.125,12.6,21.6,
23.4,67.5,9.6,20.1,
9.6,55.625,13.6,16.8,
10.8,43.75,12,20.1,
22.8,75,10.4,23.7,
21.6,53.125,9,21,
6.6,42.5,8.8,19.8,
19.2,45,11.6,21,
22.2,71.875,10.6,19.5,
10.8,36.25,11.2,21.9,
22.8,50,14,20.1,
10.2,42.5,11.2,22.8,
10.8,43.125,12.2,23.4,
6.6,33.75,8,23.1,
7.2,56.875,12,21.9,
6.6,44.375,11.2,13.5,
21.6,56.25,15.6,18.3,
18.6,75,10.4,18.6,
7.2,41.25,13.2,20.1,
7.8,57.5,11.4,13.5,
10.2,36.875,9.4,13.2,
21.6,50.625,9.8,18.6,
10.8,54.375,13.2,18.3,
12,51.25,15,13.2,
24,45.625,10.4,20.7,
10.2,66.25,14.4,18,
9.6,55,9.4,23.1,
11.4,34.375,11.2,16.2,
6,48.75,11.8,17.7,
7.8,56.25,10.8,14.7,
11.4,33.75,14.6,17.1,
9,41.875,11.8,23.1,
19.8,58.125,8.8,23.7,
9.6,34.375,11.8,23.4,
21.6,75,13.2,21.9,
12,50.625,8,17.1,
6.6,51.25,10,18,
21,60,11.8,21.6,
18.6,40,15.2,24,
10.8,38.75,15.6,15.3,
19.2,50,16,23.7,
10.2,41.25,14.4,22.5,
7.2,41.875,16.2,13.8,
10.2,39.375,15.8,12.9,
19.8,45.625,11.2,21.3,
9,38.125,14.2,17.4,
19.2,52.5,8.6,22.2,
10.8,66.25,13.8,24,
22.8,77.5,8.2,23.4,
23.4,82.5,10.4,21,
24,63.125,14.4,23.1,
9,35.625,9.8,12.9,
19.2,54.375,14.2,21,
23.4,53.125,12.4,23.4,
9,61.25,14,19.8,
6.6,45.625,12,15,
22.8,40,15.2,21,
22.8,55.625,14.4,21.9,
10.8,35,12,20.1,
22.8,50.625,8.4,24,
6,64.375,8.4,14.7,
10.8,37.5,10.4,21.6,
19.2,50.625,13.4,20.7,
10.2,32.5,13,24,
6.6,33.125,14.8,15,
11.4,40,9.8,13.5,
8.4,56.875,12.2,13.2,
10.2,50,15.8,18.6,
10.8,37.5,15,13.8,
19.2,78.125,14,18.6,
22.2,63.75,9,18.9,
19.2,76.25,11,20.4,
6.6,35,13,14.1,
20.4,66.875,9.6,24,
9.6,58.75,11,15.9,
10.2,61.875,13.4,12.9,
6,61.25,13,12,
10.8,70,15.6,18.3,
10.8,62.5,13.6,9,
6,64.375,8.2,14.7,
10.2,41.25,14.6,16.5,
7.2,45,14,19.5,
21,66.25,9.4,23.4,
18.6,58.75,16,21.3,
12,63.75,9.8,16.8,
8.4,50.625,14.6,14.4,
19.2,58.75,12.6,23.4,
6.6,40,11.4,23.7,
19.8,57.5,9.4,20.1,
19.2,51.875,11.2,21.6,
11.4,32.5,15.4,20.1,
7.2,67.5,8.2,18.6,
22.8,45,11,19.8,
16.8,48.125,12.6,19.2,
10.2,46.875,11,23.7,
6.6,44.375,13,17.1,
23.4,70,11,19.2,
12,69.375,16,18.3,
9.6,66.875,8.8,13.8,
10.8,36.875,13,23.4,
21.6,47.5,13.4,19.5,
10.2,53.125,8.2,13.5,
24,42.5,11.4,23.7,
10.2,57.5,8.2,22.2,
20.4,41.875,12.6,18,
21,61.25,15,20.4,
7.2,66.875,12.4,16.2,
6,48.75,11.4,13.5,
18,66.25,13.4,21.9,
21.6,50.625,13.4,21,
17.4,73.125,10.4,24.6,
23.4,71.25,9.8,23.7,
10.2,47.5,15,19.8,
6.6,61.25,9,18,
12,65,12.2,20.7,
23.4,57.5,11,22.8,
18.6,47.5,10,18.6,
6,66.25,8.8,17.4,
22.2,64.375,16,19.2,
10.2,35,14.2,19.5,
19.8,41.875,14.2,18.9,
22.8,54.375,9.2,24,
18,80.625,14.6,22.2,
9.6,41.25,13.8,22.5,
6,56.875,10,24,
21,58.75,8.4,23.7,
7.2,57.5,15.8,23.1,
9.6,46.875,11.4,22.8,
22.8,73.75,10.2,18,
10.8,46.25,10.2,12,
10.8,53.125,11.2,14.7,
24,39.375,12.4,23.4,
23.4,70.625,11,22.5,
10.2,64.375,8.4,13.5,
21.6,53.125,11.4,23.1,
7.2,65.625,10,20.1,
18.6,67.5,9,23.7,
22.2,55,10.2,21.3,
6.6,59.375,11.8,22.5,
9,65,9,13.5,
9,53.125,12.2,18.6,
10.8,51.25,8.4,12,
10.8,43.75,9.8,17.4,
10.2,42.5,10,14.1,
7.2,46.875,12.8,23.7,
12,48.125,10.2,15.9,
8.4,65,16,19.2,
18.6,60,9.6,23.1,
10.2,58.75,10,12.6,
24,81.25,8.6,21.6,
6.6,43.75,13.8,14.1,
7.8,50,9.8,16.8,
9.6,46.25,8.8,21.6,
10.2,51.875,13.8,23.1,
9,36.25,15.6,24,
18.6,48.75,14.4,20.1,
9,41.875,13.6,12.9,
8.4,33.125,14.6,14.4,
21.6,41.875,11.4,21,
8.4,51.25,11.4,14.1,
7.8,39.375,9.4,12.3,
11.4,40,11.4,24,
20.4,77.5,11.8,18.9,
19.8,61.875,9.6,23.4,
22.2,48.125,15,22.2,
10.2,44.375,11.2,15,
20.4,51.875,16,18,
12,38.125,10.8,17.7,
7.8,46.875,14.2,23.7,
11.4,58.125,14.6,23.7,
9,50.625,12.2,14.1,
7.2,42.5,9.4,22.5,
6,60.625,8.4,15.6,
9,68.125,15.8,18.6,
7.8,56.875,9.2,21.6,
22.2,40.625,10.2,20.4,
12,37.5,12,14.7,
7.8,35,12.4,21,
21,70.625,15.4,20.7,
18,36.875,10,13.2,
15.6,48.75,16.2,14.4,
19.8,53.125,9.2,23.4,
12,48.75,10.2,19.8,
21,51.25,8.6,22.2,
18.6,40,11.8,22.2,
23.4,73.75,13.6,23.1,
22.2,78.75,13.6,22.2,
22.8,49.375,14.8,21.6,
6.6,44.375,16,17.4,
6,54.375,10.8,17.7,
24,41.25,10.4,24,
18.6,78.75,15.6,22.8,
20.4,51.875,13.4,20.1,
23.4,65.625,9.6,23.4,
7.2,51.875,9.2,23.1,
13.8,50.625,13.2,15,
20.4,44.375,9,21,
19.2,76.875,8.8,21.9,
23.4,69.375,11.8,22.8,
24,49.375,14.2,23.7,
11.4,56.875,12,17.1,
20.4,46.25,13.8,18.6,
9.6,35,15.2,17.7,
6,35.625,14.6,20.1,
22.8,60.625,14.6,20.1,
18.6,75.625,8.4,23.1,
7.2,45,9,12.3,
22.2,73.125,11.2,21.9,
8.4,40,15,18.6,
8.4,50.625,16,17.4,
18.6,79.375,9.8,20.7,
18,75,15.8,22.5,
6,43.125,10,15.3,
7.8,61.875,14.4,18.6,
6.6,68.75,14.8,20.4,
10.2,56.875,15.8,19.5,
10.2,40,14,16.8,
8.4,50,15,12.6,
18.6,41.875,11.8,22.2,
7.8,33.125,14.4,18.6,
10.2,48.125,15.8,23.1,
21.6,71.875,13.4,24,
23.4,75.625,14.8,18,
9.6,35.625,10,23.4,
12,49.375,9.6,13.8,
22.8,75,12.8,19.5,
20.4,80.625,15.4,18.9,
19.2,38.75,8.8,18.6,
21.6,44.375,10.6,22.2,
24,61.25,9.6,19.5,
10.2,70,11.2,17.1,
21.6,67.5,14.8,20.1,
21.6,73.75,11.2,22.5,
22.8,80.625,13,20.7,
10.2,61.25,10.6,17.7,
19.8,50,12.6,19.2,
22.2,80,15.8,18.9,
9.6,41.875,12.6,12.9,
19.2,66.25,12.8,22.2,
8.4,67.5,13,21,
6,61.25,9.6,12.9,
19.2,41.875,14.4,22.8,
7.8,38.75,15.6,15.9,
9,65,10.2,20.4,
7.8,36.25,12.6,21.6,
9.6,50.625,9.6,19.8,
9.6,48.75,13,19.5,
10.2,45,13,22.2,
11.4,42.5,13,17.1,
21,76.25,15.2,23.4,
20.4,41.875,8.6,20.1,
7.2,65,12,22.8,
22.2,55.625,12,22.5,
10.8,51.25,15.2,14.1,
20.4,69.375,11,19.2,
9,56.875,10.4,15.3,
22.2,73.75,15.8,20.7,
19.2,53.75,13.8,21,
21,51.875,10.2,19.5,
6.6,46.875,15.4,15.3,
11.4,34.375,13.4,15.6,
22.2,40.625,8.4,18.3,
7.2,40,13.4,20.1,
21,69.375,11.6,23.1,
7.8,63.75,14.2,13.5,
7.8,58.125,12.6,20.4,
6.6,53.125,15.4,21.3,
21.6,39.375,8.2,19.8,
6,42.5,10,21.3,
20.4,78.125,9.6,20.1,
10.2,69.375,11.8,13.8,
8.4,46.875,9.6,22.5,
21.6,55,13.6,20.4,
20.4,47.5,15.2,22.8,
18,46.875,13.8,21.6,
24,82.5,15.6,19.5,
10.8,58.75,15.8,21,
24,58.125,10.4,18.9,
12,65.625,10,15.6,
10.8,51.25,14,18.9,
11.4,48.125,9.8,14.4,
24,81.25,15.6,21.3,
6,41.875,13.6,19.8,
8.4,46.25,15,15,
24,69.375,8.6,24,
12,41.25,11.8,24,
11.4,62.5,14.2,15.9,
18,63.75,14.6,20.1,
22.8,72.5,12.2,19.5,
22.2,48.125,11.4,18.9,
10.8,69.375,15.6,18,
11.4,46.25,8.8,14.7,
8.4,60,15.2,22.5,
21,73.125,15,19.8,
6.6,43.125,15.8,9.9,
10.8,36.875,15.4,22.8,
21,81.875,14.2,18.9,
23.4,51.25,12.2,22.8,
19.8,38.75,14.8,18.6,
8.4,63.125,11.4,19.5,
6.6,38.125,13.8,20.7,
22.2,60,11.8,22.5,
19.2,58.125,13.8,21.9,
23.4,39.375,12.8,18.9,
21.6,68.75,11.8,23.7,
11.4,56.875,14,16.2,
8.4,55.625,12.6,19.5,
19.8,79.375,15.2,19.5,
10.8,66.875,12.8,18.9,
20.4,50,12.8,20.1,
6,60.625,10.2,13.8,
24,39.375,15.8,18.9,
8.4,50.625,9,21.9,
21,58.75,12.2,18.3,
7.2,40,11,18.3,
11.4,34.375,11.8,13.5,
10.8,55,13.4,13.2,
19.8,72.5,9,21.6,
24,81.25,10.8,24,
6.6,52.5,12.8,19.2,
10.2,68.125,13.4,22.2,
20.4,72.5,12.6,20.1,
6,40.625,15.2,22.2,
6.6,35,10.8,14.4,
21.6,80,12.8,21.9,
11.4,59.375,15.2,17.1,
22.2,48.125,14.8,19.5,
18,41.25,16,23.4,
20.4,56.875,10,20.7,
8.4,36.25,8.2,18.6,
21,71.25,9.4,23.4,
7.2,38.125,10.4,19.8,
8.4,40.625,8.8,18,
22.8,55.625,11.2,18.9,
12,53.75,14.8,21.3,
18,68.75,8.6,18,
10.2,58.125,16,15.3,
18.6,73.125,14.8,21.9,
21,51.875,9.8,20.4,
22.2,53.75,9.6,21.3,
9.6,52.5,13.2,16.2,
6.6,41.25,9.8,13.8,
21.6,71.875,8.6,18.6,
9,61.875,14.8,20.7,
24,45.625,8.4,22.8,
10.8,36.875,12.2,14.7,
7.2,33.125,9.6,15.6,
9.6,43.125,9,18.9,
7.2,45,9.8,14.4,
23.4,68.75,13.6,23.7,
24,59.375,14.6,22.2,
7.8,43.125,10.6,18.3,
20.4,47.5,12.4,18,
9,46.25,15.4,19.8,
9.6,35,8.4,18.3,
21.6,71.25,15.2,19.5,
11.4,62.5,9.2,12.3,
7.8,58.125,14.4,13.2,
10.2,63.75,12.8,13.5,
10.8,70,9.6,16.5,
19.2,42.5,10,22.5,
18,49.375,14.6,22.5,
6,66.25,13.2,21.6,
10.2,40,9.4,13.8,
20.4,52.5,9,23.4,
19.2,58.125,10.8,19.2,
10.8,42.5,12.6,15.3,
18,44.375,15.8,21,
11.4,68.125,9.8,12.9,
7.8,60,14,20.1,
21.6,66.875,14,24,
10.2,48.75,8.4,18.6,
11.4,46.25,8.6,18.3,
19.8,64.375,16,19.2,
6,66.875,9.4,18.3,
23.4,60.625,11.8,23.1,
19.8,62.5,14.8,22.2,
12.6,44.375,15.2,11.1,
11.4,46.875,13.4,20.7,
20.4,73.125,10.2,19.8,
23.4,61.25,11.8,20.7,
7.8,56.25,8.2,15.3,
24,49.375,10.2,20.7,
22.2,44.375,14.8,23.7,
9.6,56.25,11.6,23.1,
11.4,38.75,8,13.8,
21.6,82.5,11.2,19.2,
22.8,48.75,8.6,24,
11.4,51.25,15.8,18.3,
21,63.75,11.2,21.9,
9,70,15.4,17.1,
21.6,49.375,15.6,20.4,
6,68.75,13.6,13.2,
12,43.125,13.6,14.1,
10.8,40,14.8,20.1,
7.8,46.25,11.6,18.3,
22.8,38.75,12.2,21.9,
21.6,57.5,9,20.7,
21,74.375,12.8,21.9,
21.6,81.875,13,23.4,
7.2,52.5,9.4,21.6,
10.2,50.625,8.6,14.7,
6,66.875,11.6,20.4,
21,38.75,9.6,21.3,
19.2,61.25,8.2,18,
12,47.5,15.2,18,
8.4,60.625,14.8,19.5,
6,67.5,13.2,19.5,
21.6,40,10.6,18,
18,58.125,8.6,20.4,
6.6,52.5,12.6,13.8,
19.8,55,16,22.2,
21,46.25,10.4,18,
6,65.625,8.8,16.2,
18,57.5,12.6,21.9,
22.2,76.25,12.2,18,
12,56.25,13.8,13.8,
12,53.75,14,18.6,
22.8,68.125,13.2,18.9,
19.8,63.125,11,21,
12,51.25,11,16.8,
20.4,48.75,11.8,21,
22.2,45,15,21.3,
10.2,48.125,8.8,12,
19.8,77.5,11,19.5,
9,33.125,14.8,15.3,
8.4,42.5,8.8,18.3,
12,33.125,15.2,21.9,
9,46.25,8.8,12.6,
19.8,65.625,12.8,20.7,
12,68.75,13.2,16.5,
22.2,72.5,15,19.5,
18,67.5,8.2,21.6,
22.8,80,13.6,23.4,
7.2,37.5,9.2,17.7,
22.2,75,13,18.9,
18.6,53.75,14.8,22.8,
20.4,54.375,10.2,22.5,
6,38.125,9.8,16.5,
18.6,63.75,12,22.2,
19.8,45,10.4,24,
22.2,75.625,10.2,21.9,
6,45,15.6,16.2,
22.2,60,9.2,18.3,
18.6,81.875,12.2,22.5,
20.4,80.625,11.2,21.3,
6.6,63.75,9.2,22.2,
19.8,70,10.6,24,
6,59.375,13,14.1,
12,58.125,9.8,15.9,
7.2,35.625,10,16.8,
22.2,78.125,13.8,21,
21,80.625,10.8,19.5,
19.2,72.5,13.2,20.4,
10.2,57.5,9.4,12.3,
10.2,60.625,15.2,17.4,
18.6,55,9.2,22.5,
12,47.5,13,16.8,
9,49.375,11.6,14.1,
10.8,38.75,15.6,23.7,
6,34.375,8.2,24,
22.2,58.75,10.4,18.6,
22.8,46.25,10,18,
19.2,38.75,14.2,23.7,
9.6,33.75,15.2,19.8,
9,52.5,15.4,22.2,
8.4,47.5,13.8,20.1,
19.8,62.5,8.2,19.5,
21.6,61.875,15,24,
24,40.625,10.6,22.2,
11.4,62.5,9.8,12.9,
19.2,75.625,10.6,21.9,
8.4,64.375,8,15,
19.2,51.25,12.2,22.8,
10.8,38.125,10.4,18,
11.4,34.375,9.4,17.7,
19.8,72.5,12.8,24,
24,74.375,14.4,21.6,
20.4,46.25,15.8,19.2,
18,58.75,13.6,21.9,
18,61.25,14.4,18.6,
18,49.375,8.2,21.6,
24,44.375,9.2,19.8,
9,40.625,13.6,12.9,
22.8,77.5,8.2,18,
6.6,36.875,11.4,19.2,
22.2,76.25,10.2,18.3,
11.4,54.375,10,21.6,
9.6,66.875,10.6,21.9,
19.2,56.25,13.2,21.3,
19.8,43.125,12.6,23.7,
20.4,46.25,12.8,21.6,
21,71.875,8.6,24,
7.8,55.625,8.6,21.3,
24,46.25,11.6,20.7,
19.8,73.125,13.2,20.7,
7.2,69.375,13.8,22.8,
10.2,32.5,14.2,21,
9,65,13.2,13.5,
6.6,64.375,16,14.7,
22.8,61.25,12.2,21.9,
6,66.25,11.6,15.6,
11.4,45,15.6,17.7,
8.4,69.375,9.2,12,
9.6,60.625,16,23.4,
22.8,66.875,8.2,22.8,
6.6,45,11.6,13.5,
9,45.625,11.2,20.7,
10.2,56.25,10.6,21.6,
10.2,48.125,14.8,15.9,
8.4,51.25,9.4,23.1,
19.8,41.25,16,22.2,
23.4,73.75,13,24,
8.4,50,8.2,23.4,
9.6,35,8.6,20.4,
22.2,60.625,10,21.6,
9,48.125,10.4,23.7,
8.4,45.625,10.2,12.3,
24,61.25,16,21.6,
22.2,61.25,13.4,19.2,
23.4,58.125,9.6,19.8,
10.8,50,12.8,18,
24,52.5,14.2,19.2,
23.4,46.875,12.2,20.1,
7.2,39.375,13.6,20.4,
7.2,61.875,14.2,15.6,
18,75,14.6,21.3,
6.6,65.625,15.6,22.2,
6.6,53.125,11.6,16.2,
7.2,34.375,8.2,15,
22.8,73.125,10.6,20.1,
19.8,77.5,12,18.6,
6.6,53.125,13.6,14.7,
10.8,64.375,14.2,14.7,
21,40,9.4,19.2,
20.4,60,9.6,23.1,
21,38.75,11.6,22.2,
6.6,47.5,11.6,12,
8.4,52.5,14.6,23.1,
19.2,72.5,13,24,
21,66.25,14,18.9,
20.4,64.375,14.8,18,
18,40.625,14.4,21.9,
22.8,80.625,8,22.5,
8.4,54.375,12.4,16.8,
9,51.25,13.2,15.9,
18,73.75,9.2,22.8,
8.4,49.375,10.8,16.5,
7.8,60.625,13.2,23.1,
12,35,12.6,13.8,
23.4,81.25,15,22.8,
21,60.625,13.2,20.4,
7.8,45,9.4,12.9,
10.8,55,15.2,18.3,
24,80,12.8,21.3,
22.2,56.25,13.4,19.5,
12,63.125,12.4,23.1,
22.8,68.125,13.6,20.7,
21,77.5,10.8,21,
10.2,57.5,14.2,13.5,
12,35,11.6,20.1,
21,45,11.6,23.7,
6.6,63.125,14.8,16.2,
21.6,80,13.2,20.7,
9.6,55.625,13,17.7,
18.6,68.125,12.2,18,
19.8,46.25,13,18,
19.8,55.625,8.8,21.6,
21,67.5,12.8,20.4,
22.8,50.625,11.6,18.3,
19.8,66.25,11.4,18.9,
12,41.25,8.2,20.1,
10.2,35,10.8,20.7,
7.8,54.375,14.6,12.3,
18,82.5,8.8,18.3,
9,66.25,11.8,13.2,
9,64.375,11.2,17.7,
22.2,70,10.6,23.1,
9,54.375,11.2,12.3,
18,67.5,12.8,23.1,
23.4,59.375,15.6,18.3,
17.4,41.25,10.2,12.6,
11.4,58.75,15,12.6,
19.8,58.75,10.8,18.9,
6,49.375,11.8,22.8,
12,57.5,14.6,12.3,
22.8,63.125,11,20.1,
18.6,57.5,16,24,
10.8,65,12.2,14.1,
12,51.25,13.8,12.6,
10.8,47.5,13.2,15.9,
22.2,49.375,12.8,18.6,
18.6,82.5,15.2,24,
12,38.125,12.4,16.2,
10.2,59.375,12.6,15.9,
7.2,69.375,9,12.3,
8.4,46.875,11.4,15.9,
9.6,57.5,11.2,21.9,
23.4,68.125,12.4,19.5,
8.4,64.375,11,12.9,
21,63.125,14.4,18.6,
22.2,61.875,10.4,21.3,
7.8,39.375,8.2,12,
19.8,47.5,13.8,18,
7.8,40.625,8.8,13.8,
10.8,55.625,10.8,13.5,
18.6,38.75,9,18,
19.2,55.625,15.6,18.9,
19.2,71.25,13,18.6,
18,73.75,13.8,21,
21.6,62.5,11.6,21.9,
21,51.25,10.2,24,
22.2,73.125,14.6,22.5,
7.8,63.75,13,12.9,
7.2,38.125,8,15.9,
22.2,39.375,13,18.9,
10.8,63.125,9.6,21.3,
7.8,43.125,14.2,15.3,
7.2,63.125,14.6,22.2,
22.8,57.5,9.2,24,
21,76.25,10.6,21.3,
7.2,46.25,15.6,15,
19.8,54.375,12,18.3,
22.2,47.5,12.8,18.3,
6.6,51.25,12,16.5,
22.2,39.375,14.2,20.1,
9,45.625,9.2,22.5,
6.6,47.5,13.2,18.9,
21,62.5,9.8,24,
6,43.75,9.8,19.5,
18.6,47.5,15.2,18.3,
19.2,53.125,10.2,24,
19.8,60.625,9.6,24,
11.4,68.125,8.6,21.3,
7.2,43.75,9.6,19.2,
18,55.625,8,18.6,
10.2,39.375,12.2,23.7,
21.6,50,14,23.7,
10.8,51.875,13.6,16.2,
15.6,42.5,12.4,19.8,
20.4,42.5,15.4,19.8,
19.2,62.5,9.6,23.1,
12,70,8.2,13.2,
18,81.25,13.4,21.6,
19.8,60.625,12.2,18.6,
7.2,35.625,12.2,16.5,
7.2,49.375,9.6,17.7,
19.2,57.5,8.4,21.6,
18,38.75,10,19.8,
10.8,58.75,13.6,23.7,
12,58.125,13.8,21.6,
23.4,75,14.6,18.9,
7.8,46.875,12.4,19.5,
18.6,39.375,11.4,19.8,
12,69.375,14,20.1,
22.2,70,10.2,20.7,
18,69.375,14.6,20.7,
9,44.375,15.2,13.8,
10.8,46.875,8.8,22.5,
6,66.25,10.2,21,
23.4,46.25,12.2,22.2,
21,51.875,14.6,21,
22.2,65.625,8.4,22.8,
12,35.625,9.2,17.4,
18.6,55,11.4,20.7,
22.8,49.375,14.2,18.6,
21,45,13.6,21.6,
21.6,47.5,13.8,20.7,
22.2,64.375,12.4,21.9,
19.2,48.75,9.2,23.7,
11.4,59.375,14.2,23.4,
8.4,34.375,9.2,15.9,
9.6,53.125,13.2,17.1,
8.4,63.75,16,18.9,
21,72.5,14.6,23.7,
9,48.125,8.4,12,
20.4,52.5,15.8,21.9,
12,50,16,18,
10.8,61.875,10.2,14.4,
24,78.125,10.8,18.3,
21.6,74.375,11.2,18.3,
9,41.25,11.6,15.9,
18,60,12,20.7,
10.8,51.25,10.2,22.2,
21.6,73.125,11.4,20.4,
6.6,51.25,9,21.3,
9,55,10.8,21.6,
18.6,71.25,11.6,19.8,
22.2,45.625,14,21,
6.6,43.125,8,18.3,
21.6,53.125,11.4,22.2,
24,80,11,20.1,
23.4,60,11.4,18,
18,79.375,10,23.7,
6.6,32.5,11.6,13.8,
23.4,76.875,14.8,18.6,
10.2,49.375,11.4,17.7,
21,49.375,11,19.5,
10.2,66.25,12.8,22.8,
22.8,50,12.4,18.9,
22.2,60,15.4,23.7,
22.2,45.625,14.8,22.5,
22.8,73.125,10.8,19.8,
7.2,36.875,15.2,17.7,
21.6,48.125,10.4,22.8,
21,51.875,16,18.9,
22.8,46.875,11.2,18,
18,42.5,12.6,20.1,
18.6,45.625,9.4,20.1,
6,68.75,14.8,13.5,
18,72.5,12.4,20.1,
11.4,34.375,15.2,16.8,
21.6,79.375,10,21.9,
12,62.5,13.6,15.9,
9,68.75,14.8,15.3,
18,43.125,11,19.2,
9.6,46.875,10.6,18.6,
19.8,50.625,13.6,19.2,
19.8,61.875,10.2,21.9,
9,50,12.4,12.3,
11.4,50.625,10.2,14.4,
15.6,57.5,18,19.8,
8.4,68.125,15.2,14.1,
19.8,63.125,11.2,21,
22.2,50,14.2,23.7,
22.8,71.25,10.4,20.7,
9.6,67.5,11.2,24,
11.4,46.25,12.8,17.1,
7.2,50,8.2,22.8,
22.8,40,8.8,19.5,
8.4,54.375,9,21.6,
8.4,56.25,14,20.7,
22.2,78.125,12.8,19.2,
10.2,33.125,10.4,18.3,
19.2,73.125,12.6,24,
18,80.625,15.6,21.6,
21,76.875,11.8,23.7,
10.2,34.375,12.8,12.9,
22.2,39.375,15.4,18.3,
21.6,77.5,9.4,24,
11.4,65,11.6,22.8,
22.2,63.75,8.4,21,
7.2,62.5,12.2,21.3,
22.2,70,15.8,23.7,
23.4,50.625,11.2,22.2,
6,38.125,9.6,20.7,
18,79.375,15.4,20.7,
6.6,49.375,12.2,20.1,
24,66.25,14.8,23.4,
21.6,53.125,11.8,22.2,
6,38.75,8.2,14.7,
6,61.875,15,15.3,
9.6,35,14.4,21,
11.4,43.75,15.4,24,
20.4,76.875,14.6,18,
7.8,47.5,8.2,23.1,
9,58.75,10.4,18,
20.4,44.375,12.8,23.4,
18,53.75,15.4,19.5,
23.4,43.75,11.8,20.7,
10.8,38.75,9.4,18,
9.6,37.5,13.4,16.2,
20.4,66.875,8.8,23.4,
23.4,58.125,15.8,23.7,
20.4,81.25,14,23.4,
9.6,47.5,8.8,14.4,
24,40,10.8,21,
21.6,57.5,14.6,24,
9.6,54.375,15.4,22.2,
20.4,38.75,11.8,18,
9.6,50.625,13.4,15.6,
21,65.625,13.6,23.7,
10.8,40,9.8,24,
14.4,33.125,16.6,19.5,
20.4,56.875,8.6,20.4,
9,38.75,8.4,13.8,
19.8,50,10.6,20.1,
11.4,61.25,12.8,23.1,
20.4,77.5,8.8,18.9,
7.8,49.375,8.2,24,
6.6,49.375,14.2,18.6,
11.4,61.25,10.8,15.6,
7.8,39.375,12.2,12.6,
21.6,73.75,11.4,22.5,
7.8,40,8,20.7,
22.8,66.875,12.8,24,
9.6,52.5,15,22.5,
6.6,56.875,11.4,20.1,
22.2,64.375,15.4,18.9,
9.6,63.75,9.2,15,
7.2,56.25,15.4,18.6,
11.4,56.25,14.4,22.2,
20.4,79.375,11.8,19.5,
22.2,39.375,9.8,21.9,
11.4,38.75,9.2,21.9,
20.4,72.5,15.4,23.1,
7.8,44.375,10,16.2,
6.6,49.375,9.4,22.2,
10.2,65,12,19.5,
6.6,44.375,14.4,15.3,
10.2,68.75,16,14.7,
9.6,68.125,16,18,
10.2,50.625,15,14.4,
12,45.625,11.2,12.6,
7.8,34.375,14.4,12.3,
21,49.375,10.4,21.3,
9,53.75,16,13.8,
19.8,67.5,14,21.3,
6,40,12.2,20.1,
22.2,81.25,16,22.5,
18,68.75,13.6,22.2,
